Program Duration,0.37519129333333334,mins

Hand,P1 - F,P2 - F,P1 - S,P2 - S
TsTd,78.0,78.0,1.0,1.0
Ts9d,78.0,3.0,1.0,0.038461538461538464
Ts8d,73.0,2.0,0.9358974358974359,0.02564102564102564
Ts7d,43.0,1.0,0.5512820512820513,0.01282051282051282
Ts6d,1.0,1.0,0.01282051282051282,0.01282051282051282
Ts5d,1.0,1.0,0.01282051282051282,0.01282051282051282
Ts4d,1.0,1.0,0.01282051282051282,0.01282051282051282
Ts3d,1.0,1.0,0.01282051282051282,0.01282051282051282
Ts2d,1.0,1.0,0.01282051282051282,0.01282051282051282
TsAh,78.0,78.0,1.0,1.0
TsKh,78.0,78.0,1.0,1.0
TsQh,78.0,78.0,1.0,1.0
TsJh,78.0,78.0,1.0,1.0
TsTh,78.0,78.0,1.0,1.0
Ts9h,78.0,3.0,1.0,0.038461538461538464
Ts8h,73.0,2.0,0.9358974358974359,0.02564102564102564
Ts7h,43.0,1.0,0.5512820512820513,0.01282051282051282
Ts6h,1.0,1.0,0.01282051282051282,0.01282051282051282
Ts5h,1.0,1.0,0.01282051282051282,0.01282051282051282
Ts4h,1.0,1.0,0.01282051282051282,0.01282051282051282
Ts3h,1.0,1.0,0.01282051282051282,0.01282051282051282
Ts2h,1.0,1.0,0.01282051282051282,0.01282051282051282
9s8s,78.0,4.0,1.0,0.05128205128205128
9s7s,78.0,2.0,1.0,0.02564102564102564
9s6s,71.0,1.0,0.9102564102564102,0.01282051282051282
9s5s,60.0,1.0,0.7692307692307693,0.01282051282051282
9s4s,1.0,1.0,0.01282051282051282,0.01282051282051282
9s3s,1.0,1.0,0.01282051282051282,0.01282051282051282
9s2s,1.0,1.0,0.01282051282051282,0.01282051282051282
9sAc,78.0,78.0,1.0,1.0
9sKc,78.0,78.0,1.0,1.0
9sQc,78.0,78.0,1.0,1.0
9sJc,78.0,5.0,1.0,0.0641025641025641
9sTc,78.0,3.0,1.0,0.038461538461538464
9s9c,78.0,78.0,1.0,1.0
9s8c,70.0,1.0,0.8974358974358975,0.01282051282051282
9s7c,52.0,1.0,0.6666666666666666,0.01282051282051282
9s6c,1.0,1.0,0.01282051282051282,0.01282051282051282
9s5c,1.0,1.0,0.01282051282051282,0.01282051282051282
9s4c,1.0,1.0,0.01282051282051282,0.01282051282051282
9s3c,1.0,1.0,0.01282051282051282,0.01282051282051282
9s2c,1.0,1.0,0.01282051282051282,0.01282051282051282
9sAd,78.0,78.0,1.0,1.0
9sKd,78.0,78.0,1.0,1.0
9sQd,78.0,78.0,1.0,1.0
9sJd,78.0,5.0,1.0,0.0641025641025641
9sTd,78.0,3.0,1.0,0.038461538461538464
9s9d,78.0,78.0,1.0,1.0
9s8d,70.0,1.0,0.8974358974358975,0.01282051282051282
9s7d,52.0,1.0,0.6666666666666666,0.01282051282051282
9s6d,1.0,1.0,0.01282051282051282,0.01282051282051282
9s5d,1.0,1.0,0.01282051282051282,0.01282051282051282
9s4d,1.0,1.0,0.01282051282051282,0.01282051282051282
9s3d,1.0,1.0,0.01282051282051282,0.01282051282051282
9s2d,1.0,1.0,0.01282051282051282,0.01282051282051282
9sAh,78.0,78.0,1.0,1.0
9sKh,78.0,78.0,1.0,1.0
9sQh,78.0,78.0,1.0,1.0
9sJh,78.0,5.0,1.0,0.0641025641025641
9sTh,78.0,3.0,1.0,0.038461538461538464
9s9h,78.0,78.0,1.0,1.0
9s8h,70.0,1.0,0.8974358974358975,0.01282051282051282
9s7h,52.0,1.0,0.6666666666666666,0.01282051282051282
9s6h,1.0,1.0,0.01282051282051282,0.01282051282051282
