Program Duration,0.7027944783333333

Hand,P1 - F,P2 - F,P1 - S,P2 - S
9s4d,1.0,1.0,0.014925373134328358,0.014925373134328358
9s3d,1.0,1.0,0.014925373134328358,0.014925373134328358
9s2d,1.0,1.0,0.014925373134328358,0.014925373134328358
9sAh,67.0,67.0,1.0,1.0
9sKh,67.0,67.0,1.0,1.0
9sQh,67.0,67.0,1.0,1.0
9sJh,67.0,48.0,1.0,0.7164179104477612
9sTh,67.0,5.0,1.0,0.07462686567164178
9s9h,67.0,67.0,1.0,1.0
9s8h,67.0,1.0,1.0,0.014925373134328358
9s7h,36.0,1.0,0.5373134328358209,0.014925373134328358
9s6h,1.0,1.0,0.014925373134328358,0.014925373134328358
9s5h,1.0,1.0,0.014925373134328358,0.014925373134328358
9s4h,1.0,1.0,0.014925373134328358,0.014925373134328358
9s3h,1.0,1.0,0.014925373134328358,0.014925373134328358
9s2h,1.0,1.0,0.014925373134328358,0.014925373134328358
8s7s,67.0,2.0,1.0,0.029850746268656716
8s6s,67.0,1.0,1.0,0.014925373134328358
8s5s,65.0,1.0,0.9701492537313433,0.014925373134328358
8s4s,57.0,1.0,0.8507462686567164,0.014925373134328358
8s3s,1.0,1.0,0.014925373134328358,0.014925373134328358
8s2s,1.0,1.0,0.014925373134328358,0.014925373134328358
8sAc,67.0,67.0,1.0,1.0
8sKc,67.0,67.0,1.0,1.0
8sQc,67.0,67.0,1.0,1.0
8sJc,67.0,4.0,1.0,0.05970149253731343
8sTc,67.0,2.0,1.0,0.029850746268656716
8s9c,66.0,1.0,0.9850746268656716,0.014925373134328358
8s8c,67.0,67.0,1.0,1.0
8s7c,46.0,1.0,0.6865671641791045,0.014925373134328358
8s6c,1.0,1.0,0.014925373134328358,0.014925373134328358
8s5c,1.0,1.0,0.014925373134328358,0.014925373134328358
8s4c,1.0,1.0,0.014925373134328358,0.014925373134328358
8s3c,1.0,1.0,0.014925373134328358,0.014925373134328358
8s2c,1.0,1.0,0.014925373134328358,0.014925373134328358
8sAd,67.0,67.0,1.0,1.0
8sKd,67.0,67.0,1.0,1.0
8sQd,67.0,67.0,1.0,1.0
8sJd,67.0,4.0,1.0,0.05970149253731343
8sTd,67.0,2.0,1.0,0.029850746268656716
8s9d,66.0,1.0,0.9850746268656716,0.014925373134328358
8s8d,67.0,67.0,1.0,1.0
